"","X","ID_BIO","n","W","Lt","Ls","Date","ID","FC","H","A","FCrel","L.H","L.H.1","L.H.A"
"1327",1327,"BIO 021023",68,147,20.5,17,"45201",NA,147,6,2,1.01834288102158,123,26.5,246
"305",305,"BIO3-03-2022",94,4,6.5,5,"44701",NA,4,1,0.5,0.733381257583904,6.5,7.5,3.25
"680",680,"BIO 101022",5,11,9,7,"44844",NA,11,2,1,0.797244913196509,18,11,18
"557",557,"BIO1-02-2022",45,198,22.5,19,"44729",NA,198,6,2.9,1.05181499337758,135,28.5,391.5
"42",42,"BIO12021",97,24,11.5,9,"44205",NA,24,3.5,1.7,0.864569100127448,40.25,15,68.425
"487",487,"BIO4-01-2022",17,133.3,20.5,16.5,"44687",NA,133.3,5.9,2.6,0.923436095511405,120.95,26.4,314.47
"644",644,NA,15,NA,17,14,"44824",NA,85,4.5,2.2,1.00433202366044,76.5,21.5,168.3
"231",231,NA,8,114,19.6,16.5,"44489",NA,114,6.5,2,0.897613228851664,127.4,26.1,254.8
"988",988,"BIO 280823",5,104,17.6,14.5,"45166","5",104,6,2.4,1.11308907298427,105.6,23.6,253.44
"836",836,"BIO 28 03 2023",17,78,17,14,"45013","146",78,5,2.5,0.921622327594288,85,22,212.5
"396",396,"BIO1-01-2022",25,47,15,12.5,"44722",NA,47,5,2.3,0.793568272024633,75,20,172.5
"110",110,"BIO12021",115,82,18.5,14.5,"44205",NA,82,5,2.2,0.761270133450739,92.5,23.5,203.5
"796",796,"BIO 06 02 2023",26,284,26,NA,"44963","105",284,8,3.5,0.998879408271384,208,34,728
"1161",1161,"BIO 150723",6,379,28.5,NA,"45122","180",379,8,3.5,1.02593625623268,228,36.5,798
"907",907,"BIO 19 06 23",3,79,16.5,13.5,"45096","89",79,5,2,1.01639282614483,82.5,21.5,165
"206",206,NA,1,81,17,14,"44489",NA,81,5.4,2.2,0.957069340194068,91.8,22.4,201.96
"252",252,NA,3,NA,6.2,4.9,"44489",NA,4.5,1.7,0.8,0.944082883910524,10.54,7.9,8.432
"687",687,"BIO 101022",12,3,5.8,4.5,"44844",NA,4,1.4,0.7,1.0149906985642,8.12,7.2,5.684
"1354",1354,"BIO 021023",26,347,26.5,22,"45201",NA,347,8,3.5,1.15592844514196,212,34.5,742
"356",356,"BIO1-01-2022",17,22.4,11,9,"44722",NA,22.4,3.2,1.6,0.915998555801769,35.2,14.2,56.32
"1098",1098,"BIO 280823",115,87,17.5,14.5,"45166","115",87,5.5,2.5,0.946397199395294,96.25,23,240.625
"830",830,"BIO 28 03 2023",11,180,23.6,19.5,"45013","140",180,6.5,3,0.834499693130641,153.4,30.1,460.2
"691",691,"44858",20,78,16,13.5,"44858",NA,78,5,2,1.09557754116429,80,21,160
"793",793,"BIO 06 02 2023",22,216,23,18.6,"44963","101",216,8,3,1.07771684614389,184,31,552
"505",505,"BIO4-01-2022",7,149,21,17.5,"44687",NA,149,6.4,2.9,0.963641618796977,134.4,27.4,389.76
"915",915,"BIO 19 06 23",11,73,16,13,"45096","97",73,5,2,1.02534821160247,80,21,160
